"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","HTTP","",""
"pre_128cipher","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","No 128 cipher limit bug","",""
"SSLv2","agences.hydrogeotechnique.com/109.234.164.174","443","OK","not offered","",""
"SSLv3","agences.hydrogeotechnique.com/109.234.164.174","443","OK","not offered","",""
"TLS1","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","not offered","",""
"TLS1_1","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","not offered","",""
"TLS1_2","agences.hydrogeotechnique.com/109.234.164.174","443","OK","offered","",""
"TLS1_3","agences.hydrogeotechnique.com/109.234.164.174","443","OK","offered with final","",""
"NPN","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","not offered","",""
"ALPN_HTTP2","agences.hydrogeotechnique.com/109.234.164.174","443","OK","h2","",""
"ALPN","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","http/1.1","",""
"cipherlist_NULL","agences.hydrogeotechnique.com/109.234.164.174","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","agences.hydrogeotechnique.com/109.234.164.174","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","agences.hydrogeotechnique.com/109.234.164.174","443","OK","not offered","","CWE-327"
"cipherlist_LOW","agences.hydrogeotechnique.com/109.234.164.174","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","agences.hydrogeotechnique.com/109.234.164.174","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","not offered","",""
"cipherlist_STRONG_FS","agences.hydrogeotechnique.com/109.234.164.174","443","OK","offered","",""
"cipher_order-tls1_2","agences.hydrogeotechnique.com/109.234.164.174","443","OK","server","",""
"cipher-tls1_2_xc030","agences.hydrogeotechnique.com/109.234.164.174","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","agences.hydrogeotechnique.com/109.234.164.174","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc028","agences.hydrogeotechnique.com/109.234.164.174","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc014","agences.hydrogeotechnique.com/109.234.164.174","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipherorder_TLSv1_2","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"prioritize_chacha_TLSv1_2","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","false","",""
"cipher_order-tls1_3","agences.hydrogeotechnique.com/109.234.164.174","443","OK","server","",""
"cipher-tls1_3_x1303","agences.hydrogeotechnique.com/109.234.164.174","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","agences.hydrogeotechnique.com/109.234.164.174","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1302","agences.hydrogeotechnique.com/109.234.164.174","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_3","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256 TLS_AES_256_GCM_SHA384","",""
"cipher_order","agences.hydrogeotechnique.com/109.234.164.174","443","OK","server","",""
"FS","agences.hydrogeotechnique.com/109.234.164.174","443","OK","offered","",""
"FS_ciphers","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256","",""
"FS_ECDHE_curves","agences.hydrogeotechnique.com/109.234.164.174","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","agences.hydrogeotechnique.com/109.234.164.174","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","agences.hydrogeotechnique.com/109.234.164.174","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224","",""
