"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","hydrogeotechnique.com/83.166.138.19","443","INFO","HTTP","",""
"pre_128cipher","hydrogeotechnique.com/83.166.138.19","443","INFO","No 128 cipher limit bug","",""
"SSLv2","hydrogeotechnique.com/83.166.138.19","443","OK","not offered","",""
"SSLv3","hydrogeotechnique.com/83.166.138.19","443","OK","not offered","",""
"TLS1","hydrogeotechnique.com/83.166.138.19","443","INFO","not offered","",""
"TLS1_1","hydrogeotechnique.com/83.166.138.19","443","INFO","not offered","",""
"TLS1_2","hydrogeotechnique.com/83.166.138.19","443","OK","offered","",""
"TLS1_3","hydrogeotechnique.com/83.166.138.19","443","OK","offered with final","",""
"NPN","hydrogeotechnique.com/83.166.138.19","443","INFO","not offered","",""
"ALPN_HTTP2","hydrogeotechnique.com/83.166.138.19","443","OK","h2","",""
"ALPN","hydrogeotechnique.com/83.166.138.19","443","INFO","http/1.1","",""
"cipherlist_NULL","hydrogeotechnique.com/83.166.138.19","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","hydrogeotechnique.com/83.166.138.19","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","hydrogeotechnique.com/83.166.138.19","443","OK","not offered","","CWE-327"
"cipherlist_LOW","hydrogeotechnique.com/83.166.138.19","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","hydrogeotechnique.com/83.166.138.19","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","hydrogeotechnique.com/83.166.138.19","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","hydrogeotechnique.com/83.166.138.19","443","INFO","not offered","",""
"cipherlist_STRONG_FS","hydrogeotechnique.com/83.166.138.19","443","OK","offered","",""
"cipher_order-tls1_2","hydrogeotechnique.com/83.166.138.19","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02f","hydrogeotechnique.com/83.166.138.19","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","hydrogeotechnique.com/83.166.138.19","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","hydrogeotechnique.com/83.166.138.19","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_x9e","hydrogeotechnique.com/83.166.138.19","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","hydrogeotechnique.com/83.166.138.19","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xccaa","hydrogeotechnique.com/83.166.138.19","443","OK","TLSv1.2   xccaa   DHE-RSA-CHACHA20-POLY1305         DH 2048    ChaCha20    256      TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_2","hydrogeotechnique.com/83.166.138.19","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-CHACHA20-POLY1305","",""
"prioritize_chacha_TLSv1_2","hydrogeotechnique.com/83.166.138.19","443","INFO","true","",""
"cipher_order-tls1_3","hydrogeotechnique.com/83.166.138.19","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_3_x1302","hydrogeotechnique.com/83.166.138.19","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","hydrogeotechnique.com/83.166.138.19","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","hydrogeotechnique.com/83.166.138.19","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","hydrogeotechnique.com/83.166.138.19","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","hydrogeotechnique.com/83.166.138.19","443","INFO","true","",""
"cipher_order","hydrogeotechnique.com/83.166.138.19","443","OK","server","",""
"FS","hydrogeotechnique.com/83.166.138.19","443","OK","offered","",""
"FS_ciphers","hydrogeotechnique.com/83.166.138.19","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 DHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","hydrogeotechnique.com/83.166.138.19","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","hydrogeotechnique.com/83.166.138.19","443","OK","HAProxy","",""
"FS_TLS12_sig_algs","hydrogeotechnique.com/83.166.138.19","443","LOW","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224 RSA+SHA1","",""
"FS_TLS13_sig_algs","hydrogeotechnique.com/83.166.138.19","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","hydrogeotechnique.com/83.166.138.19","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","hydrogeotechnique.com/83.166.138.19","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","hydrogeotechnique.com/83.166.138.19","443","INFO","yes","",""
"sessionresumption_ticket","hydrogeotechnique.com/83.166.138.19","443","INFO","not supported","",""
"sessionresumption_ID","hydrogeotechnique.com/83.166.138.19","443","INFO","supported","",""
"TLS_timestamp","hydrogeotechnique.com/83.166.138.19","443","INFO","random","",""
"certificate_compression","hydrogeotechnique.com/83.166.138.19","443","INFO","none","",""
"clientAuth","hydrogeotechnique.com/83.166.138.19","443","INFO","none","",""
"cert_numbers","hydrogeotechnique.com/83.166.138.19","443","INFO","1","",""
"cert_signatureAlgorithm","hydrogeotechnique.com/83.166.138.19","443","OK","SHA256 with RSA","",""
"cert_keySize","hydrogeotechnique.com/83.166.138.19","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","hydrogeotechnique.com/83.166.138.19","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","hydrogeotechnique.com/83.166.138.19","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","hydrogeotechnique.com/83.166.138.19","443","INFO","05CBD8B0C59BAD69EC7519CC997CEE2D1F82","",""
"cert_serialNumberLen","hydrogeotechnique.com/83.166.138.19","443","INFO","18","",""
"cert_fingerprintSHA1","hydrogeotechnique.com/83.166.138.19","443","INFO","EB052FAE828E5507271E572F4921D277C46F64D1","",""
"cert_fingerprintSHA256","hydrogeotechnique.com/83.166.138.19","443","INFO","72A26A6E1F8EE4EFBA6F913A9C7BE9A9A6FDF12E5B7AF2E151F3B124903111C3","",""
