"id","fqdn/ip","port","severity","finding","cve","cwe","hint"
"service","3d-back-office.mobilierdefrance.com/20.82.22.191","443","INFO","HTTP","","",""
"pre_128cipher","3d-back-office.mobilierdefrance.com/20.82.22.191","443","INFO","No 128 cipher limit bug","","",""
"SSLv2","3d-back-office.mobilierdefrance.com/20.82.22.191","443","OK","not offered","","",""
"SSLv3","3d-back-office.mobilierdefrance.com/20.82.22.191","443","OK","not offered","","",""
"TLS1","3d-back-office.mobilierdefrance.com/20.82.22.191","443","LOW","offered (deprecated)","","",""
"TLS1_1","3d-back-office.mobilierdefrance.com/20.82.22.191","443","LOW","offered (deprecated)","","",""
"TLS1_2","3d-back-office.mobilierdefrance.com/20.82.22.191","443","OK","offered","","",""
"TLS1_3","3d-back-office.mobilierdefrance.com/20.82.22.191","443","OK","offered with final","","",""
"NPN","3d-back-office.mobilierdefrance.com/20.82.22.191","443","INFO","not offered","","",""
"ALPN","3d-back-office.mobilierdefrance.com/20.82.22.191","443","INFO","http/1.1","","",""
"cipherlist_NULL","3d-back-office.mobilierdefrance.com/20.82.22.191","443","OK","not offered","","CWE-327",""
"cipherlist_aNULL","3d-back-office.mobilierdefrance.com/20.82.22.191","443","OK","not offered","","CWE-327",""
"cipherlist_EXPORT","3d-back-office.mobilierdefrance.com/20.82.22.191","443","OK","not offered","","CWE-327",""
"cipherlist_LOW","3d-back-office.mobilierdefrance.com/20.82.22.191","443","OK","not offered","","CWE-327",""
"cipherlist_3DES_IDEA","3d-back-office.mobilierdefrance.com/20.82.22.191","443","INFO","not offered","","CWE-310",""
"cipherlist_OBSOLETED","3d-back-office.mobilierdefrance.com/20.82.22.191","443","LOW","offered","","CWE-310",""
"cipherlist_STRONG_NOFS","3d-back-office.mobilierdefrance.com/20.82.22.191","443","OK","offered","","",""
"cipherlist_STRONG_FS","3d-back-office.mobilierdefrance.com/20.82.22.191","443","OK","offered","","",""
"cipher_order-tls1","3d-back-office.mobilierdefrance.com/20.82.22.191","443","OK","server","","",""
"cipher-tls1_xc014","3d-back-office.mobilierdefrance.com/20.82.22.191","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","","",""
"cipher-tls1_xc013","3d-back-office.mobilierdefrance.com/20.82.22.191","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","","",""
"cipher-tls1_x35","3d-back-office.mobilierdefrance.com/20.82.22.191","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","","",""
"cipher-tls1_x2f","3d-back-office.mobilierdefrance.com/20.82.22.191","443","LOW","TLSv1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","","",""
