"id","fqdn/ip","port","severity","finding","cve","cwe","hint"
"service","bonplan.mobilierdefrance.com/164.132.235.17","443","DEBUG","Couldn't determine service, skipping all HTTP checks","","",""
"pre_128cipher","bonplan.mobilierdefrance.com/164.132.235.17","443","INFO","No 128 cipher limit bug","","",""
"SSLv2","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","not offered","","",""
"SSLv3","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","not offered","","",""
"TLS1","bonplan.mobilierdefrance.com/164.132.235.17","443","INFO","not offered","","",""
"TLS1_1","bonplan.mobilierdefrance.com/164.132.235.17","443","INFO","not offered","","",""
"TLS1_2","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","offered","","",""
"TLS1_3","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","offered with final","","",""
"NPN","bonplan.mobilierdefrance.com/164.132.235.17","443","INFO","not offered","","",""
"ALPN_HTTP2","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","h2","","",""
"cipherlist_NULL","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","not offered","","CWE-327",""
"cipherlist_aNULL","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","not offered","","CWE-327",""
"cipherlist_EXPORT","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","not offered","","CWE-327",""
"cipherlist_LOW","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","not offered","","CWE-327",""
"cipherlist_3DES_IDEA","bonplan.mobilierdefrance.com/164.132.235.17","443","INFO","not offered","","CWE-310",""
"cipherlist_OBSOLETED","bonplan.mobilierdefrance.com/164.132.235.17","443","LOW","offered","","CWE-310",""
"cipherlist_STRONG_NOFS","bonplan.mobilierdefrance.com/164.132.235.17","443","INFO","not offered","","",""
"cipherlist_STRONG_FS","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","offered","","",""
"cipher_order-tls1_2","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","","",""
"cipher-tls1_2_xc02c","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","","",""
"cipher-tls1_2_xcca9","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","","",""
"cipher-tls1_2_xc02b","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","","",""
"cipher-tls1_2_xc024","bonplan.mobilierdefrance.com/164.132.235.17","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","","",""
"cipher-tls1_2_xc023","bonplan.mobilierdefrance.com/164.132.235.17","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","","",""
"cipherorder_TLSv1_2","bonplan.mobilierdefrance.com/164.132.235.17","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES128-SHA256","","",""
"prioritize_chacha_TLSv1_2","bonplan.mobilierdefrance.com/164.132.235.17","443","INFO","true","","",""
"cipher_order-tls1_3","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","","",""
"cipher-tls1_3_x1302","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","","",""
"cipher-tls1_3_x1303","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","","",""
"cipher-tls1_3_x1301","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","","",""
"cipherorder_TLSv1_3","bonplan.mobilierdefrance.com/164.132.235.17","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","","",""
"prioritize_chacha_TLSv1_3","bonplan.mobilierdefrance.com/164.132.235.17","443","INFO","true","","",""
"cipher_order","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","server","","",""
"FS","bonplan.mobilierdefrance.com/164.132.235.17","443","OK","offered","","",""
