"id","fqdn/ip","port","severity","finding","cve","cwe","hint"
"service","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","HTTP","","",""
"pre_128cipher","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","No 128 cipher limit bug","","",""
"SSLv2","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","not offered","","",""
"SSLv3","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","not offered","","",""
"TLS1","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","not offered","","",""
"TLS1_1","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","not offered","","",""
"TLS1_2","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","offered","","",""
"TLS1_3","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","offered with final","","",""
"NPN","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","offered with http/1.1, http/1.0 (advertised)","","",""
"ALPN","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","http/1.1","","",""
"cipherlist_NULL","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","not offered","","CWE-327",""
"cipherlist_aNULL","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","not offered","","CWE-327",""
"cipherlist_EXPORT","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","not offered","","CWE-327",""
"cipherlist_LOW","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","not offered","","CWE-327",""
"cipherlist_3DES_IDEA","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","not offered","","CWE-310",""
"cipherlist_OBSOLETED","image.mf.mobilierdefrance.com/2.22.251.56","443","LOW","offered","","CWE-310",""
"cipherlist_STRONG_NOFS","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","not offered","","",""
"cipherlist_STRONG_FS","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","offered","","",""
"cipher_order-tls1_2","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","","",""
"cipher-tls1_2_xc030","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","","",""
"cipher-tls1_2_xc02f","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","","",""
"cipher-tls1_2_xcca8","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 256   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","","",""
"cipher-tls1_2_xc028","image.mf.mobilierdefrance.com/2.22.251.56","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","","",""
"cipher-tls1_2_xc027","image.mf.mobilierdefrance.com/2.22.251.56","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","","",""
"cipher-tls1_2_xc014","image.mf.mobilierdefrance.com/2.22.251.56","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","","",""
"cipher-tls1_2_xc013","image.mf.mobilierdefrance.com/2.22.251.56","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","","",""
"cipherorder_TLSv1_2","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-SHA ECDHE-RSA-AES128-SHA","","",""
"prioritize_chacha_TLSv1_2","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","true","","",""
"cipher_order-tls1_3","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","","",""
"cipher-tls1_3_x1302","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","","",""
"cipher-tls1_3_x1303","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","","",""
"cipher-tls1_3_x1301","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","","",""
"cipher-tls1_3_x1305","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","TLSv1.3   x1305   TLS_AES_128_CCM_8_SHA256          ECDH 253   AESCCM8     128      TLS_AES_128_CCM_8_SHA256","","",""
"cipher-tls1_3_x1304","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","TLSv1.3   x1304   TLS_AES_128_CCM_SHA256            ECDH 253   AESCCM      128      TLS_AES_128_CCM_SHA256","","",""
"cipherorder_TLSv1_3","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256 TLS_AES_128_CCM_8_SHA256 TLS_AES_128_CCM_SHA256","","",""
"prioritize_chacha_TLSv1_3","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","true","","",""
"cipher_order","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","server","","",""
"FS","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","offered","","",""
"FS_ciphers","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 TLS_AES_128_CCM_SHA256 TLS_AES_128_CCM_8_SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA","","",""
"FS_ECDHE_curves","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","prime256v1 X25519","","",""
"FS_TLS12_sig_algs","image.mf.mobilierdefrance.com/2.22.251.56","443","LOW","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224 RSA+SHA1","","",""
"FS_TLS13_sig_algs","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","","",""
"TLS_extensions","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","'server name/#0' 'max fragment length/#1' 'status request/#5' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","","",""
"TLS_session_ticket","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","valid for 83100 seconds only (<daily)","","",""
"SSL_sessionID_support","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","yes","","",""
"sessionresumption_ticket","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","supported","","",""
"sessionresumption_ID","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","not supported","","",""
"TLS_timestamp","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","random","","",""
"certificate_compression","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","none","","",""
"clientAuth","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","none","","",""
"cert_numbers","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","1","","",""
"cert_signatureAlgorithm","image.mf.mobilierdefrance.com/2.22.251.56","443","OK","SHA256 with RSA","","",""
"cert_keySize","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","RSA 2048 bits (exponent is 65537)","","",""
"cert_keyUsage","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","Digital Signature, Key Encipherment","","",""
"cert_extKeyUsage","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","","",""
"cert_serialNumber","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","044168B1CBE2014EE849DA3A748B448E","","",""
"cert_serialNumberLen","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","16","","",""
"cert_fingerprintSHA1","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","31CDCCA76AA735FF0B33D9413DD9ACC30BD81F60","","",""
"cert_fingerprintSHA256","image.mf.mobilierdefrance.com/2.22.251.56","443","INFO","418128E8FE08E242057A42ABE167D3B406592059A0388044B8E4717118F2277D","","",""
