"id","fqdn/ip","port","severity","finding","cve","cwe","hint"
"service","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","HTTP","","",""
"pre_128cipher","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","No 128 cipher limit bug","","",""
"SSLv2","l.info.mobilierdefrance.com/104.254.152.2","443","OK","not offered","","",""
"SSLv3","l.info.mobilierdefrance.com/104.254.152.2","443","OK","not offered","","",""
"TLS1","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","not offered","","",""
"TLS1_1","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","not offered","","",""
"TLS1_2","l.info.mobilierdefrance.com/104.254.152.2","443","OK","offered","","",""
"TLS1_3","l.info.mobilierdefrance.com/104.254.152.2","443","OK","offered with final","","",""
"NPN","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","not offered","","",""
"ALPN_HTTP2","l.info.mobilierdefrance.com/104.254.152.2","443","OK","h2","","",""
"ALPN","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","http/1.1","","",""
"cipherlist_NULL","l.info.mobilierdefrance.com/104.254.152.2","443","OK","not offered","","CWE-327",""
"cipherlist_aNULL","l.info.mobilierdefrance.com/104.254.152.2","443","OK","not offered","","CWE-327",""
"cipherlist_EXPORT","l.info.mobilierdefrance.com/104.254.152.2","443","OK","not offered","","CWE-327",""
"cipherlist_LOW","l.info.mobilierdefrance.com/104.254.152.2","443","OK","not offered","","CWE-327",""
"cipherlist_3DES_IDEA","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","not offered","","CWE-310",""
"cipherlist_OBSOLETED","l.info.mobilierdefrance.com/104.254.152.2","443","LOW","offered","","CWE-310",""
"cipherlist_STRONG_NOFS","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","not offered","","",""
"cipherlist_STRONG_FS","l.info.mobilierdefrance.com/104.254.152.2","443","OK","offered","","",""
"cipher_order-tls1_2","l.info.mobilierdefrance.com/104.254.152.2","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","","",""
"cipher-tls1_2_xc02f","l.info.mobilierdefrance.com/104.254.152.2","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","","",""
"cipher-tls1_2_xc030","l.info.mobilierdefrance.com/104.254.152.2","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","","",""
"cipher-tls1_2_xcca8","l.info.mobilierdefrance.com/104.254.152.2","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 521   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","","",""
"cipher-tls1_2_xc013","l.info.mobilierdefrance.com/104.254.152.2","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","","",""
"cipher-tls1_2_xc014","l.info.mobilierdefrance.com/104.254.152.2","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","","",""
"cipher-tls1_2_xc027","l.info.mobilierdefrance.com/104.254.152.2","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","","",""
"cipherorder_TLSv1_2","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-SHA ECDHE-RSA-AES128-SHA256","","",""
"prioritize_chacha_TLSv1_2","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","true","","",""
"cipher_order-tls1_3","l.info.mobilierdefrance.com/104.254.152.2","443","INFO","NOT a cipher order configured","","",""
