"id","fqdn/ip","port","severity","finding","cve","cwe","hint"
"service","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","INFO","HTTP","","",""
"pre_128cipher","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","INFO","No 128 cipher limit bug","","",""
"SSLv2","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","not offered","","",""
"SSLv3","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","not offered","","",""
"TLS1","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","INFO","not offered","","",""
"TLS1_1","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","INFO","not offered","","",""
"TLS1_2","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","offered","","",""
"TLS1_3","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","offered with final","","",""
"NPN","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","INFO","offered with http/1.1 (advertised)","","",""
"ALPN_HTTP2","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","h2","","",""
"ALPN","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","INFO","http/1.1","","",""
"cipherlist_NULL","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","not offered","","CWE-327",""
"cipherlist_aNULL","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","not offered","","CWE-327",""
"cipherlist_EXPORT","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","not offered","","CWE-327",""
"cipherlist_LOW","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","not offered","","CWE-327",""
"cipherlist_3DES_IDEA","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","INFO","not offered","","CWE-310",""
"cipherlist_OBSOLETED","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","LOW","offered","","CWE-310",""
"cipherlist_STRONG_NOFS","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","INFO","not offered","","",""
"cipherlist_STRONG_FS","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","offered","","",""
"cipher_order-tls1_2","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","server","","",""
"cipher-tls1_2_xc030","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","","",""
"cipher-tls1_2_xc02f","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","","",""
"cipher-tls1_2_xc028","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","","",""
"cipher-tls1_2_xc027","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","","",""
"cipher-tls1_2_x9f","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","","",""
"cipher-tls1_2_x9e","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","","",""
"cipherorder_TLSv1_2","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES128-GCM-SHA256","","",""
"cipher_order-tls1_3","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","server","","",""
"cipher-tls1_3_x1302","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 256   AESGCM      256      TLS_AES_256_GCM_SHA384","","",""
"cipher-tls1_3_x1301","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 256   AESGCM      128      TLS_AES_128_GCM_SHA256","","",""
"cipherorder_TLSv1_3","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","INFO","TLS_AES_256_GCM_SHA384 TLS_AES_128_GCM_SHA256","","",""
"cipher_order","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","server","","",""
"FS","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","offered","","",""
"FS_ciphers","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","INFO","TLS_AES_256_GCM_SHA384 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 DHE-RSA-AES256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 DHE-RSA-AES128-GCM-SHA256","","",""
"FS_ECDHE_curves","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","prime256v1 secp384r1 secp521r1","","",""
"DH_groups","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","OK","Unknown DH group (2048 bits)","","",""
"FS_TLS12_sig_algs","mdf-api-3d.mobilierdefrance.com/13.107.253.42","443","LOW","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224 RSA+SHA1","","",""
