"id","fqdn/ip","port","severity","finding","cve","cwe","hint"
"service","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","HTTP","","",""
"pre_128cipher","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","No 128 cipher limit bug","","",""
"SSLv2","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","not offered","","",""
"SSLv3","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","not offered","","",""
"TLS1","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","not offered","","",""
"TLS1_1","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","not offered","","",""
"TLS1_2","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","offered","","",""
"TLS1_3","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","not offered + downgraded to weaker protocol","","",""
"NPN","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","offered with h2, http/1.1 (advertised)","","",""
"ALPN_HTTP2","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","h2","","",""
"ALPN","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","http/1.1","","",""
"cipherlist_NULL","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","not offered","","CWE-327",""
"cipherlist_aNULL","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","not offered","","CWE-327",""
"cipherlist_EXPORT","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","not offered","","CWE-327",""
"cipherlist_LOW","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","not offered","","CWE-327",""
"cipherlist_3DES_IDEA","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","not offered","","CWE-310",""
"cipherlist_OBSOLETED","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","LOW","offered","","CWE-310",""
"cipherlist_STRONG_NOFS","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","not offered","","",""
"cipherlist_STRONG_FS","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","offered","","",""
"cipher_order-tls1_2","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","server","","",""
"cipher-tls1_2_xc030","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","","",""
"cipher-tls1_2_xcca8","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","","",""
"cipher-tls1_2_xc02f","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","","",""
"cipher-tls1_2_xc028","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","","",""
"cipher-tls1_2_xc027","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","","",""
"cipherorder_TLSv1_2","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-SHA256","","",""
"prioritize_chacha_TLSv1_2","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","false","","",""
"cipher_order","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","server","","",""
"FS","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","offered","","",""
"FS_ciphers","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256","","",""
"FS_ECDHE_curves","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","","",""
"FS_TLS12_sig_algs","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224","","",""
"TLS_extensions","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","'max fragment length/#1' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'next protocol/#13172' 'renegotiation info/#65281'","","",""
"TLS_session_ticket","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","valid for 600 seconds only (<daily)","","",""
"SSL_sessionID_support","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","yes","","",""
"sessionresumption_ticket","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","not supported","","",""
"sessionresumption_ID","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","not supported","","",""
"TLS_timestamp","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","random","","",""
"cert_compression","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","N/A","","",""
"clientAuth","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","none","","",""
"cert_numbers","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","1","","",""
"cert_signatureAlgorithm","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","SHA256 with RSA","","",""
"cert_keySize","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","RSA 2048 bits (exponent is 65537)","","",""
"cert_keyUsage","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","Digital Signature, Key Encipherment","","",""
"cert_extKeyUsage","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","TLS Web Server Authentication","","",""
"cert_serialNumber","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","2DC3B3244876B2FEAE7EC097D0FAF7D7","","",""
"cert_serialNumberLen","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","16","","",""
"cert_fingerprintSHA1","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","34EC446916EC8ABE40A3ADCCDA32F0FF622FEBD4","","",""
"cert_fingerprintSHA256","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","66D7AA22D642BACD71905421D42B73B3BDD7E36D49740FDE2EDE787C8518D3D3","","",""
"cert","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDbzCCAlegAwIBAgIQLcOzJEh2sv6ufsCX0Pr31zANBgkqhkiG9w0BAQsFADBLMRAwDgYDVQQKEwdBY21lIENvMTcwNQYDVQQDEy5LdWJlcm5ldGVzIEluZ3Jlc3MgQ29udHJvbGxlciBGYWtlIENlcnRpZmljYXRlMB4XDTIzMTEyOTA0MzQzNFoXDTI0MTEyODA0MzQzNFowSzEQMA4GA1UEChMHQWNtZSBDbzE3MDUGA1UEAxMuS3ViZXJuZXRlcyBJbmdyZXNzIENvbnRyb2xsZXIgRmFrZSBDZXJ0aWZpY2F0ZTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMZHHvFdpw8zcP9/ivruOj4/aXVMCHYFIlySEPaieF5wlYxFl7+orCAV6NvOYX1IT3Cu/YB0hs5LdrKeaJqCxGHo3Dxc7tnXd+VoldUk8kmDUnCNHoIFxeNO+aWGTXozTDhxsxhOYeT9/mvSXZD1svpTt0b1A9sCbk9i/4vieSvG4CD1HhJCgIl7Z4ILD83KRshbyPKLoUacEkIZvfKBgukBazIkuaE6X6/BUav7Je9klxnuD2v/+m9+OTwEwZMAWN42HtE39pwasZGK3EM+4oJGQyVFyhXSZ7TmWDqw7MlkiSCDBSqeFlXl662tDmaC7aC3UwPO81qIU7TpXLR46DkCAwEAAaNPME0wDgYDVR0PAQH/BAQDAgWgMBMGA1UdJQQMMAoGCCsGAQUFBwMBMAwGA1UdEwEB/wQCMAAwGAYDVR0RBBEwD4INaW5ncmVzcy5sb2NhbDANBgkqhkiG9w0BAQsFAAOCAQEAlyThm0+emlLJTsIb2XmeBQEIHNl4nqEOfzT1EJzwMeFwWo/lhA2Zd+ED9szCy/yYDuBKD3tXRms/We5se867PumY+oFyfqwXVPQvkxABbWfzsXv91fr2o0hWzKh4T6gN+TDr2ZDcqRs5tWlqTU7klPEy958srHlOJN0x1ZHDkR90ei2lz3bMnIzKNYrDzoFipmwdu/PoI2ECHCkufbduu4mtkYYYbP6lJT8Vt2dZyL3CO886W71HtUy6xuTl/Sm39xRP4aM87Lry1Ot063amxN5cSchzR2hR53f9QKJNkJf0DtgUu5YpT4Ip6aqL5Tc8ZbunQq5+A3AJfc6i+GMTIg==\n-----END CERTIFICATE-----","","",""
"cert_commonName","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","Kubernetes Ingress Controller Fake Certificate","","",""
"cert_commonName_wo_SNI","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","Kubernetes Ingress Controller Fake Certificate","","",""
"cert_subjectAltName","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","ingress.local","","",""
"cert_trust","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","HIGH","certificate does not match supplied URI (same w/o SNI)","","",""
"cert_chain_of_trust","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","CRITICAL","failed (chain incomplete).","","",""
"cert_certificatePolicies_EV","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","no","","",""
"cert_expirationStatus","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","CRITICAL","expired","","",""
"cert_notBefore","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","2023-11-29 04:34","","",""
"cert_notAfter","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","CRITICAL","2024-11-28 04:34","","",""
"cert_extlifeSpan","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","certificate has no extended life time according to browser forum","","",""
"cert_eTLS","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","not present","","",""
"cert_crlDistributionPoints","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","--","","",""
"cert_ocspURL","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","--","","",""
"cert_revocation","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","HIGH","Neither CRL nor OCSP URI provided","","",""
"OCSP_stapling","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","not offered","","",""
"cert_mustStapleExtension","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","--","","",""
"DNS_CAArecord","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","LOW","--","","",""
"certificate_transparency","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","--","","",""
"certs_countServer","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","1","","",""
"certs_list_ordering_problem","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","no","","",""
"cert_caIssuers","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","Kubernetes Ingress Controller Fake Certificate (Acme Co)","","",""
"intermediate_cert_badOCSP","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","intermediate certificate(s) is/are ok","","",""
"HTTP_status_code","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","404 Not Found ('/')","","",""
"HTTP_clock_skew","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","0 seconds from localtime","","",""
"HTTP_headerTime","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","1750067189","","",""
"HSTS_time","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","182 days (=15724800 seconds) > 15552000 seconds","","",""
"HSTS_subdomains","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","OK","includes subdomains","","",""
"HSTS_preload","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","domain is NOT marked for preloading","","",""
"HPKP","staging.ventesprivees.mobilierdefrance.com/94.125.108.241","443","INFO","No support for HTTP Public Key Pinning","","",""
