"id","fqdn/ip","port","severity","finding","cve","cwe","hint"
"service","stock.mobilierdefrance.com/20.19.212.144","443","INFO","HTTP","","",""
"pre_128cipher","stock.mobilierdefrance.com/20.19.212.144","443","INFO","No 128 cipher limit bug","","",""
"SSLv2","stock.mobilierdefrance.com/20.19.212.144","443","OK","not offered","","",""
"SSLv3","stock.mobilierdefrance.com/20.19.212.144","443","OK","not offered","","",""
"TLS1","stock.mobilierdefrance.com/20.19.212.144","443","INFO","not offered","","",""
"TLS1_1","stock.mobilierdefrance.com/20.19.212.144","443","INFO","not offered","","",""
"TLS1_2","stock.mobilierdefrance.com/20.19.212.144","443","OK","offered","","",""
"TLS1_3","stock.mobilierdefrance.com/20.19.212.144","443","OK","offered with final","","",""
"NPN","stock.mobilierdefrance.com/20.19.212.144","443","INFO","not offered","","",""
"ALPN_HTTP2","stock.mobilierdefrance.com/20.19.212.144","443","OK","h2","","",""
"ALPN","stock.mobilierdefrance.com/20.19.212.144","443","INFO","http/1.1","","",""
"cipherlist_NULL","stock.mobilierdefrance.com/20.19.212.144","443","OK","not offered","","CWE-327",""
"cipherlist_aNULL","stock.mobilierdefrance.com/20.19.212.144","443","OK","not offered","","CWE-327",""
"cipherlist_EXPORT","stock.mobilierdefrance.com/20.19.212.144","443","OK","not offered","","CWE-327",""
"cipherlist_LOW","stock.mobilierdefrance.com/20.19.212.144","443","OK","not offered","","CWE-327",""
"cipherlist_3DES_IDEA","stock.mobilierdefrance.com/20.19.212.144","443","INFO","not offered","","CWE-310",""
"cipherlist_OBSOLETED","stock.mobilierdefrance.com/20.19.212.144","443","INFO","not offered","","CWE-310",""
"cipherlist_STRONG_NOFS","stock.mobilierdefrance.com/20.19.212.144","443","INFO","not offered","","",""
"cipherlist_STRONG_FS","stock.mobilierdefrance.com/20.19.212.144","443","OK","offered","","",""
"cipher_order-tls1_2","stock.mobilierdefrance.com/20.19.212.144","443","OK","server","","",""
